Id. de pedido,Producto,Precio por unidad,Cantidad,Descuento
10248,Queso Cabrales,14.00 €,12,0.00%
10248,Tallarines de Singapur,9.80 €,10,0.00%
10248,Queso Mozzarella Giovanni,34.80 €,5,0.00%
10249,Cuajada de judías,18.60 €,9,0.00%
10249,Manzanas secas Manjimup,42.40 €,40,0.00%
10250,Crema de almejas estilo Nueva Inglaterra,7.70 €,10,0.00%
10250,Manzanas secas Manjimup,42.40 €,35,15.00%
10250,Salsa de pimiento picante de Luisiana,16.80 €,15,15.00%
10251,Pan de centeno crujiente estilo Gustaf's,16.80 €,6,5.00%
10251,Raviolis Angelo,15.60 €,15,5.00%
10251,Salsa de pimiento picante de Luisiana,16.80 €,20,0.00%
10252,Mermelada de Sir Rodney's,64.80 €,40,5.00%
10252,Queso de cabra,2.00 €,25,5.00%
10252,Camembert Pierrot,27.20 €,40,0.00%
10253,Queso gorgonzola Telino,10.00 €,20,0.00%
10253,Licor verde Chartreuse,14.40 €,42,0.00%
10253,Regaliz,16.00 €,40,0.00%
10254,Refresco Guaraná Fantástica,3.60 €,15,15.00%
10254,Paté chino,19.20 €,21,15.00%
10254,Queso de soja Longlife,8.00 €,21,0.00%
10255,Cerveza tibetana Barley,15.20 €,20,0.00%
10255,Postre de merengue Pavlova,13.90 €,35,0.00%
10255,Escabeche de arenque,15.20 €,25,0.00%
10255,Raclet de queso Courdavault,44.00 €,30,0.00%
10256,Empanada de carne,26.20 €,15,0.00%
10256,Salsa verde original Frankfurter,10.40 €,12,0.00%
10257,Chocolate Schoggi,35.10 €,25,0.00%
10257,Licor verde Chartreuse,14.40 €,6,0.00%
10257,Salsa verde original Frankfurter,10.40 €,15,0.00%
10258,Cerveza tibetana Barley,15.20 €,50,20.00%
10258,Mezcla Gumbo del chef Anton,17.00 €,65,20.00%
10258,Queso Mascarpone Fabioli,25.60 €,6,20.00%
10259,Bollos de Sir Rodney's,8.00 €,10,0.00%
10259,Salmón ahumado Gravad,20.80 €,1,0.00%
10260,Crema de almejas estilo Nueva Inglaterra,7.70 €,16,25.00%
10260,Raviolis Angelo,15.60 €,50,0.00%
10260,Tarta de azúcar,39.40 €,15,25.00%
10260,Cerveza Outback,12.00 €,21,25.00%
10261,Bollos de Sir Rodney's,8.00 €,20,0.00%
10261,Cerveza negra Steeleye,14.40 €,20,0.00%
10262,Mezcla Gumbo del chef Anton,17.00 €,12,20.00%
10262,Peras secas orgánicas del tío Bob,24.00 €,15,0.00%
10262,Gnocchi de la abuela Alicia,30.40 €,2,0.00%
10263,Postre de merengue Pavlova,13.90 €,60,25.00%
10263,Refresco Guaraná Fantástica,3.60 €,28,0.00%
10263,Arenque blanco del noroeste,20.70 €,60,25.00%
10263,Queso de soja Longlife,8.00 €,36,25.00%
