Id. de pedido,Cliente,Empleado,Fecha de pedido,Fecha de entrega,Fecha de envío,Forma de envío,Cargo,Nombre de destinatario,Dirección de destinatario,Ciudad de destinatario,Región de destinatario,Código postal de destinatario,País de destinatario
10248,Wilman Kala,"Buchanan, Steven",04-07-1996,01-08-1996,16-07-1996,Federal Shipping,32.38 €,Wilman Kala,Keskuskatu 45,Helsinki,,21240,Finlandia
10249,Toms Spezialitäten,"Suyama, Michael",05-07-1996,16-08-1996,10-07-1996,Speedy Express,11.61 €,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Alemania
10250,Hanari Carnes,"Peacock, Margaret",08-07-1996,05-08-1996,12-07-1996,United Package,65.83 €,Hanari Carnes,"Rua do Paço, 67",Río de Janeiro,RJ,05454-876,Brasil
10251,Victuailles en stock,"Leverling, Janet",08-07-1996,05-08-1996,15-07-1996,Speedy Express,41.34 €,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,Francia
10252,Suprêmes délices,"Peacock, Margaret",09-07-1996,06-08-1996,11-07-1996,United Package,51.30 €,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Bélgica
10253,Hanari Carnes,"Leverling, Janet",10-07-1996,24-07-1996,16-07-1996,United Package,58.17 €,Hanari Carnes,"Rua do Paço, 67",Río de Janeiro,RJ,05454-876,Brasil
10254,Chop-suey Chinese,"Buchanan, Steven",11-07-1996,08-08-1996,23-07-1996,United Package,22.98 €,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Suiza
10255,Richter Supermarkt,"Dodsworth, Anne",12-07-1996,09-08-1996,15-07-1996,Federal Shipping,148.33 €,Richter Supermarkt,Starenweg 5,Genève,,1204,Suiza
10256,Wellington Importadora,"Leverling, Janet",15-07-1996,12-08-1996,17-07-1996,United Package,13.97 €,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brasil
10257,HILARIÓN-Abastos,"Peacock, Margaret",16-07-1996,13-08-1996,22-07-1996,Federal Shipping,81.91 €,HILARIÓN-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela
10258,Ernst Handel,"Davolio, Nancy",17-07-1996,14-08-1996,23-07-1996,Speedy Express,140.51 €,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10259,Centro comercial Moctezuma,"Peacock, Margaret",18-07-1996,15-08-1996,25-07-1996,Federal Shipping,3.25 €,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,,05022,México
10260,Ottilies Käseladen,"Peacock, Margaret",19-07-1996,16-08-1996,29-07-1996,Speedy Express,55.09 €,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Alemania
10261,Que Delícia,"Peacock, Margaret",19-07-1996,16-08-1996,30-07-1996,United Package,3.05 €,Que Delícia,"Rua da Panificadora, 12",Río de Janeiro,RJ,02389-673,Brasil
10262,Rattlesnake Canyon Grocery,"Callahan, Laura",22-07-1996,19-08-1996,25-07-1996,Federal Shipping,48.29 €,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,Estados Unidos
10263,Ernst Handel,"Dodsworth, Anne",23-07-1996,20-08-1996,31-07-1996,Federal Shipping,146.06 €,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10264,Folk och fä HB,"Suyama, Michael",24-07-1996,21-08-1996,23-08-1996,Federal Shipping,3.67 €,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Suecia
10265,Blondel père et fils,"Fuller, Andrew",25-07-1996,22-08-1996,12-08-1996,Speedy Express,55.28 €,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,Francia
10266,Wartian Herkku,"Leverling, Janet",26-07-1996,06-09-1996,31-07-1996,Federal Shipping,25.73 €,Wartian Herkku,Torikatu 38,Oulu,,90110,Finlandia
10267,Frankenversand,"Peacock, Margaret",29-07-1996,26-08-1996,06-08-1996,Speedy Express,208.58 €,Frankenversand,Berliner Platz 43,München,,80805,Alemania
10268,GROSELLA-Restaurante,"Callahan, Laura",30-07-1996,27-08-1996,02-08-1996,Federal Shipping,66.29 €,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela
10269,White Clover Markets,"Buchanan, Steven",31-07-1996,14-08-1996,09-08-1996,Speedy Express,4.56 €,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,Estados Unidos
10270,Wartian Herkku,"Davolio, Nancy",01-08-1996,29-08-1996,02-08-1996,Speedy Express,136.54 €,Wartian Herkku,Torikatu 38,Oulu,,90110,Finlandia
10271,Split Rail Beer & Ale,"Suyama, Michael",01-08-1996,29-08-1996,30-08-1996,United Package,4.54 €,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,Estados Unidos
10272,Rattlesnake Canyon Grocery,"Suyama, Michael",02-08-1996,30-08-1996,06-08-1996,United Package,98.03 €,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,Estados Unidos
10273,QUICK-Stop,"Leverling, Janet",05-08-1996,02-09-1996,12-08-1996,Federal Shipping,76.07 €,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Alemania
10274,Vins et alcools Chevalier,"Suyama, Michael",06-08-1996,03-09-1996,16-08-1996,Speedy Express,6.01 €,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,Francia
10275,Magazzini Alimentari Riuniti,"Davolio, Nancy",07-08-1996,04-09-1996,09-08-1996,Speedy Express,26.93 €,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bérgamo,,24100,Italia
